N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
107,GS리테일,"35,100",400,+1.15%,"1,000","27,027","77,000",14.96,"249,380",16.00,6.25,
108,대우건설,"6,460",560,+9.49%,"5,000","26,849","415,623",7.88,"12,709,432",13.95,8.80,
109,DB손해보험,"37,600",800,+2.17%,500,"26,621","70,800",40.53,"206,654",4.79,6.92,
110,휠라홀딩스,"42,800",100,+0.23%,"1,000","26,002","60,752",48.35,"379,920",14.43,23.81,
111,OCI,"108,500","10,100",+10.26%,"5,000","25,877","23,849",19.95,"1,320,711",-3.51,-26.20,
112,현대위아,"93,600","2,800",+3.08%,"5,000","25,455","27,195",10.67,"1,005,528",20.22,1.80,
113,팬오션,"4,625",75,+1.65%,"1,000","24,724","534,570",11.34,"2,128,728",18.28,5.49,
114,한화,"32,900",750,+2.33%,"5,000","24,661","74,959",19.65,"642,880",13.41,2.09,
115,삼성엔지니어링,"12,550",200,+1.62%,"5,000","24,598","196,000",24.25,"1,585,028",9.63,24.62,
116,메리츠증권,"3,585",60,+1.70%,"1,000","24,233","675,962",13.44,"2,124,013",4.49,15.06,
117,한화생명,"2,730",60,+2.25%,"5,000","23,711","868,530",7.39,"4,511,477",10.38,0.51,
118,신세계,"237,000","3,500",+1.50%,"5,000","23,333","9,845",24.44,"75,542",-7.61,14.24,
119,하이트진로,"32,750",850,+2.66%,"5,000","22,969","70,134",8.28,"327,142",30.95,-3.86,
120,DL이앤씨,"118,000","6,500",+5.83%,"5,000","22,843","19,359",28.07,"640,141",N/A,N/A,
121,제일기획,"19,850",550,+2.85%,200,"22,836","115,041",32.82,"433,235",16.82,15.09,
122,한샘,"96,000","1,200",+1.27%,"1,000","22,593","23,534",22.99,"55,184",33.71,7.32,
123,포스코인터내셔널,"18,300","1,800",+10.91%,"5,000","22,578","123,375",11.16,"13,891,209",10.09,7.06,
124,한솔케미칼,"197,000","4,000",+2.07%,"5,000","22,252","11,295",40.02,"60,490",18.96,20.88,
125,KODEX 200선물인버스2X,"2,155",120,-5.27%,0,"22,039","1,022,700",3.40,"628,356,259",N/A,N/A,
126,LS,"66,800","2,400",+3.73%,"5,000","21,510","32,200",13.92,"291,372",-927.78,0.80,
127,종근당,"188,000","4,500",+2.45%,"2,500","21,481","11,426",12.91,"208,151",22.30,11.94,
128,현대로템,"19,550",300,+1.56%,"5,000","21,337","109,142",4.53,"1,621,817",-11.10,-37.93,
129,오뚜기,"567,000","6,000",+1.07%,"5,000","20,820","3,672",16.41,"4,874",19.16,7.79,
130,한화에어로스페이스,"40,900",250,+0.62%,"5,000","20,708","50,630",18.38,"963,207",28.68,5.45,
131,녹십자홀딩스,"43,300",700,-1.59%,500,"20,363","47,028",6.89,"1,114,717",40.93,0.37,
132,HDC현대산업개발,"28,900","1,550",+5.67%,"5,000","19,047","65,907",10.73,"1,037,296",7.17,20.30,
133,두산인프라코어,"8,770",610,+7.48%,"5,000","18,937","215,932",5.85,"11,168,384",11.32,11.59,
134,한화시스템,"17,150",850,+5.21%,"5,000","18,905","110,230",6.64,"1,414,718",24.29,8.15,
135,대한유화,"287,500","3,500",+1.23%,"5,000","18,688","6,500",20.11,"77,605",21.05,6.11,
136,LS ELECTRIC,"61,900",400,+0.65%,"5,000","18,570","30,000",14.53,"278,980",23.85,7.82,
137,BNK금융지주,"5,690",180,+3.27%,"5,000","18,546","325,935",38.26,"1,949,585",3.86,7.07,
138,현대미포조선,"46,350","3,250",+7.54%,"5,000","18,513","39,942",13.20,"505,555",39.89,2.31,
139,현대백화점,"78,500",300,+0.38%,"5,000","18,371","23,402",14.56,"214,744",16.08,4.64,
140,대웅제약,"157,500","6,000",+3.96%,"2,500","18,249","11,587",4.85,"146,338","-1,101.40",4.34,
141,현대해상,"20,200",300,+1.51%,500,"18,059","89,400",36.45,"335,569",4.96,6.23,
142,메리츠화재,"14,900",950,-5.99%,500,"17,973","120,625",10.53,"1,143,534",4.37,12.80,
143,KODEX 단기채권,"102,675",0,0.00%,0,"17,839","17,374",0.00,"25,113",N/A,N/A,
144,KCC,"200,500","2,000",+1.01%,"5,000","17,817","8,886",11.78,"43,331",-636.51,-4.37,
145,세방전지,"126,000","24,500",+24.14%,500,"17,640","14,000",25.50,"1,003,438",23.87,7.70,
146,현대엘리베이,"43,050",600,+1.41%,"5,000","17,571","40,815",26.19,"240,124",19.28,5.22,
147,농심,"283,500","1,000",+0.35%,"5,000","17,244","6,083",17.35,"24,931",12.72,3.72,
148,아이에스동서,"55,300","1,600",+2.98%,500,"17,084","30,893",5.28,"107,392",13.33,6.10,
149,한올바이오파마,"32,550",350,+1.09%,500,"17,004","52,241",7.25,"198,098",86.34,14.90,
150,효성티앤씨,"389,000","89,500",+29.88%,"5,000","16,835","4,328",16.86,"233,412",19.75,20.86,
151,KODEX 레버리지,"26,585","1,245",+4.91%,0,"16,749","63,000",1.51,"53,474,222",N/A,N/A,
152,효성,"79,300","5,100",+6.87%,"5,000","16,709","21,071",6.92,"643,872",-37.18,4.25,
153,KODEX 삼성그룹,"10,370",125,+1.22%,0,"16,447","158,600",0.03,"538,329",N/A,N/A,
154,F&F,"105,000","2,500",+2.44%,500,"16,170","15,400",9.78,"153,951",18.56,25.13,
155,KODEX 200TR,"13,560",340,+2.57%,0,"16,109","118,800",0.00,"872,695",N/A,N/A,
156,KODEX MSCI Korea TR,"13,645",330,+2.48%,0,"15,774","115,600",11.04,"365,528",N/A,N/A,
157,영원무역,"35,450",50,+0.14%,500,"15,708","44,311",24.04,"151,637",9.59,9.82,
158,한국앤컴퍼니,"16,550",700,+4.42%,500,"15,395","93,020",7.39,"382,833",13.81,4.71,
159,명신산업,"37,050","1,650",+4.66%,500,"15,109","40,779",1.93,"1,677,807",N/A,53.84,
160,KODEX 종합채권(AA-이상)액티브,"109,700",130,-0.12%,0,"15,044","13,714",0.00,"18,548",N/A,N/A,
161,TIGER MSCI Korea TR,"17,155",430,+2.57%,0,"14,942","87,100",0.00,"200,464",N/A,N/A,
162,LG생활건강우,"703,000","3,000",+0.43%,"5,000","14,761","2,100",84.29,"10,642",15.75,N/A,
163,부광약품,"22,700",300,+1.34%,500,"14,718","64,838",4.80,"532,481","11,350.00",-2.00,
164,솔루스첨단소재,"48,050","1,050",+2.23%,100,"14,698","30,590",8.03,"603,683",138.87,N/A,
165,지누스,"100,000","1,500",-1.48%,500,"14,407","14,407",23.14,"70,723",20.18,26.32,
166,롯데정밀화학,"55,700","1,300",+2.39%,"5,000","14,371","25,800",22.68,"124,230",8.40,11.73,
167,LG전자우,"81,500","2,600",+3.30%,"5,000","14,007","17,186",38.61,"785,097",17.70,N/A,
168,NHN,"70,700",800,+1.14%,500,"13,832","19,565",11.46,"74,793",47.10,0.78,
169,에스엘,"28,500","3,800",+15.38%,500,"13,738","48,203",14.92,"1,395,237",30.61,7.25,
170,동원시스템즈,"52,100","7,100",+15.78%,"5,000","13,347","25,619",1.57,"452,784",29.60,8.69,
171,SK네트웍스,"5,200",40,+0.78%,"2,500","12,906","248,188",11.93,"1,115,432",-22.51,-5.85,
172,메리츠금융지주,"9,610",70,+0.73%,500,"12,878","134,011",8.26,"72,021",2.76,15.26,
173,이노션,"63,800",200,-0.31%,500,"12,760","20,000",29.99,"64,270",19.87,9.88,
174,SK디스커버리,"66,200","2,200",+3.44%,"5,000","12,603","19,038",9.94,"115,675",4.35,11.52,
175,영진약품,"6,880",130,+1.93%,500,"12,583","182,893",4.19,"756,793","-1,720.00",4.43,
176,신세계인터내셔날,"174,000","2,500",+1.46%,"5,000","12,424","7,140",4.85,"41,729",27.55,12.98,
177,효성첨단소재,"276,000","49,500",+21.85%,"5,000","12,365","4,480",9.68,"1,260,548",-18.49,-19.74,
178,한전KPS,"27,200",100,+0.37%,200,"12,240","45,000",10.84,"147,738",10.10,14.98,
179,더블유게임즈,"64,900","2,400",+3.84%,500,"11,925","18,375",14.00,"209,226",11.13,18.93,
180,KODEX 인버스,"3,965",105,-2.58%,0,"11,911","300,400",2.55,"139,911,984",N/A,N/A,
181,다우기술,"26,450",150,-0.56%,500,"11,867","44,867",22.50,"599,449",4.25,14.62,
182,한국콜마,"51,300",200,-0.39%,500,"11,738","22,881",27.96,"320,530",36.91,6.39,
183,롯데관광개발,"16,700","1,150",+7.40%,500,"11,569","69,276",4.66,"1,580,092",-24.52,-4.77,
184,KBSTAR 200,"42,250",900,+2.18%,0,"11,555","27,350",0.12,"842,381",N/A,N/A,
185,코오롱인더,"41,950","1,050",+2.57%,"5,000","11,318","26,979",15.23,"203,114",7.51,1.58,
186,후성,"12,200",250,+2.09%,500,"11,298","92,607",4.63,"1,566,149",-221.82,3.85,
187,일양약품,"59,100","8,100",+15.88%,"2,500","11,280","19,086",8.14,"4,471,305",109.24,5.20,
188,금호타이어,"3,915",140,+3.71%,"5,000","11,246","287,260",5.22,"500,196",-11.22,-3.30,
189,아시아나항공,"15,100",450,+3.07%,"5,000","11,236","74,412",20.00,"705,401",-1.31,-90.67,
190,KODEX 코스닥150 레버리지,"16,080","1,260",+8.50%,0,"11,111","69,100",2.96,"21,028,514",N/A,N/A,
191,DGB금융지주,"6,540",170,+2.67%,"5,000","11,062","169,146",47.10,"387,602",3.34,7.31,
192,KG동부제철,"11,050",450,+4.25%,"5,000","11,051","100,009",0.12,"199,113",13.41,-7.44,
193,보령제약,"21,150",250,-1.17%,500,"11,023","52,120",7.00,"2,244,684",37.90,11.96,
194,롯데칠성,"118,500","2,500",+2.16%,500,"10,636","8,975",10.45,"27,909",-12.15,-11.68,
195,S&T모티브,"71,700",700,-0.97%,"5,000","10,485","14,623",26.10,"111,962",16.82,0.33,
196,한미반도체,"20,200","1,300",+6.88%,200,"10,403","51,502",5.38,"723,753",23.63,8.85,
197,JB금융지주,"5,280",100,+1.93%,"5,000","10,401","196,983",39.58,"418,352",3.01,10.36,
198,태광산업,"933,000","94,000",+11.20%,"5,000","10,388","1,113",7.74,"8,112",10.01,4.34,
199,코스맥스,"103,000",0,0.00%,500,"10,351","10,050",24.36,"117,202",25.50,10.45,
200,대한전선,"1,205",100,+9.05%,500,"10,320","856,473",2.09,"20,733,326",-66.94,-3.99,
